排名,标题,分数,播放量,弹幕数,Up主,UpID,URL
1,【老番茄】史上最憨训练师(大结局),"5673774综合得分
          ",370.9万,9.4万,老番茄,546195,https://www.bilibili.com/video/av90501130
2,【才浅制作】手工是有极限的 除非超越手工 善逸雷刃极致还原,"5665794综合得分
          ",185.1万,4.5万,才疏学浅的才浅,2200736,https://www.bilibili.com/video/av90269539
3,【师 生 对 线】这网课上得就尼玛离谱！,"4330304综合得分
          ",306.2万,1.8万,鹤吱菌,3353026,https://www.bilibili.com/video/av90748215
4,受够了，我真的不行了。好想逃。,"4247830综合得分
          ",275.4万,1.2万,浅葱喵asagiinyo,312679910,https://www.bilibili.com/video/av90362224
5,B 站 现 状,"4246461综合得分
          ",509.0万,5.9万,落桑西,10289240,https://www.bilibili.com/video/av90609023
6,靠谱盘点73：公开处刑！嫖老师直播重温一炮四个PDD！G2，欧洲滴神！,"2691847综合得分
          ",188.2万,1.8万,靠谱电竞,279991456,https://www.bilibili.com/video/av90720842
7,【 钉 钉 本 钉 ，在 线 求 饶 】,"2523430综合得分
          ",278.9万,3.9万,钉钉DingTalk,481393564,https://www.bilibili.com/video/av89441613
8,【 五 星 分 期 ，下 次 一 钉 】,"2403826综合得分
          ",156.7万,8198,池年,2341174,https://www.bilibili.com/video/av90164987
9,奇…奇怪的知识增加了!!,"2244549综合得分
          ",146.1万,4521,-柠萌菌-,124735327,https://www.bilibili.com/video/av90525290
10,验证！日本秘术3秒解决脖子酸痛？一女子尝试后说....,"2231470综合得分
          ",75.5万,5345,纳豆奶奶,6574487,https://www.bilibili.com/video/av90287397
11,坐稳扶好，10秒后让你投币！,"2058453综合得分
          ",107.5万,5046,-影子a,105902820,https://www.bilibili.com/video/av89926476
12,【懂点儿啥31】台湾节目点名对线观察者网，我们笑出来了辣！,"2044438综合得分
          ",191.7万,6.2万,观察者网,10330740,https://www.bilibili.com/video/av90748352
13,如何拯救你的C盘：Windows深度清理指南,"2024686综合得分
          ",35.9万,1106,飞鱼不在天,17873487,https://www.bilibili.com/video/av89947215
14,别再做电饭锅抖臀蛋糕啦！绵软香醇零失败的香香小蛋糕你值得拥有~,"1959181综合得分
          ",72.4万,2263,二喵的饭,29329085,https://www.bilibili.com/video/av90750256
15,处 处 零,"1896631综合得分
          ",81.4万,8217,翘课迟到,232236,https://www.bilibili.com/video/av89558467
16,亲爱的娃娃们：我是济公爷爷游本昌，今天我入驻B站啦 ！,"1846354综合得分
          ",125.5万,2.9万,济公爷爷_游本昌,346353480,https://www.bilibili.com/video/av90880253
17,当不能出门的UP 玩起了《我的世界》,"1836819综合得分
          ",109.5万,5.7万,花少北丶,2206456,https://www.bilibili.com/video/av90578764
18,2020年初电脑配件和配置单推荐,"1755176综合得分
          ",52.2万,7220,喵喵折App,338748561,https://www.bilibili.com/video/av90534559
19,上网课时，老师与卢本伟的对话                         笑抽了 O(∩_∩)O哈哈~,"1747735综合得分
          ",247.9万,6207,Kiyohime乾鲲,407529648,https://www.bilibili.com/video/av89657065
20,【敖厂长】这款日本人开发的GTA酷炫炸裂（分P警告）,"1734428综合得分
          ",176.0万,2.1万,敖厂长,122879,https://www.bilibili.com/video/av90621340
21,【 处 处 磕 】——当你磕上一对CP，万水千山皆为爱情,"1717454综合得分
          ",51.8万,6.3万,夏木樱。,1622248,https://www.bilibili.com/video/av90498007
