金地旭辉·江山风华, 55800元/平(均价), 480万/套
大兴金茂悦, 37500元/平(均价), 291万/套
中海寰宇时代, 52449元/平(均价), 350万/套
润泽御府, 5600万/套(总价), 0
北京岭秀, 460万/套(总价), 460万/套
天恒水岸壹号, 1000万/套(总价), 1100万/套
观唐云鼎, 485万/套(总价), 485万/套
运河铭著, 42000元/平(均价), 460万/套
世界名园, 21800元/平(均价), 280万/套
万年广阳郡九号, 48500元/平(均价), 680万/套
首开璞瑅公馆, 106000元/平(均价), 2500万/套
恒大丽宫, 13000万/套(总价), 0
华远裘马四季, 60000元/平(均价), 950万/套
合景映月台, 2200万/套(总价), 2200万/套
懋源钓云台, 2900万/套(总价), 3263万/套
V7九间堂, 1600万/套(总价), 1600万/套
北京城建国誉府, 48000元/平(均价), 950万/套
御汤山熙园, 1800万/套(总价), 1935万/套
华远和墅, 1580万/套(总价), 1580万/套
天恒半山世家, 2500万/套(总价), 2500万/套
天资华府, 43000元/平(均价), 0
檀香府, 55000元/平(均价), 1060万/套
观山源墅, 47500元/平(均价), 1200万/套
国门智慧城, 35000元/平(均价), 0
首城汇景墅, 745万/套(总价), 745万/套
中国铁建花语金郡, 66000元/平(均价), 1060万/套
棠颂别墅, 3500万/套(总价), 3500万/套
中国铁建万科翡翠长安, 57000元/平(均价), 1000万/套
水墨林溪, 17700元/平(均价), 0
西山甲一号, 65000元/平(均价), 890万/套
电建金地华宸, 64000元/平(均价), 1700万/套
北辰墅院1900, 43000元/平(均价), 1081万/套
首创天阅西山, 1500万/套(总价), 1470万/套
泰禾西府大院, 128000元/平(均价), 2300万/套
西山燕庐, 65000元/平(均价), 850万/套
首开龙湖天琅, 3500万/套(总价), 3500万/套
翡翠公园, 680万/套(总价), 680万/套
北科建泰禾丽春湖院子, 50000元/平(均价), 1900万/套
香江别墅二期, 34000元/平(均价), 1300万/套
首开国风尚樾, 120000元/平(均价), 1960万/套
恭和家园, 50000元/平(均价), 0
绿地海珀云翡, 70000元/平(均价), 700万/套
首创禧悦府, 33000元/平(均价), 375万/套
都丽华府, 300万/套(总价), 306万/套
中粮京西祥云, 58000元/平(均价), 700万/套
中昂时代广场, 100000元/平(均价), 0
绿地环球文化金融城, 43000元/平(均价), 0
燕西华府, 49800元/平(均价), 390万/套
文化都汇, 32000元/平(均价), 0
远洋新天地, 70000元/平(均价), 0
天恒水岸壹号, 600万/套(总价), 600万/套
鸿坤新都荟, 55000元/平(均价), 0
融汇国际大厦, 85000元/平(均价), 0
紫辰院, 120000元/平(均价), 3192万/套
天恒摩墅, 339万/套(总价), 350万/套
格拉斯小镇, 66000元/平(均价), 6400万/套
长安壹号, 110000元/平(均价), 16280万/套
北京红廷别墅, 2950万/套(总价), 7000万/套
兴创荣墅, 1100万/套(总价), 850万/套
景粼原著, 4000万/套(总价), 4000万/套
温哥华森林, 2000万/套(总价), 2400万/套
首创禧瑞山, 740万/套(总价), 740万/套
首开缇香郡, 29800元/平(均价), 440万/套
观山源墅, 47500元/平(均价), 420万/套
北辰墅院1900, 43000元/平(均价), 385万/套
利锦府府上, 60000元/平(均价), 1700万/套
金科天玺, 2800万/套(总价), 2800万/套
中骏西山天璟, 65000元/平(均价), 700万/套
泰禾昌平拾景园, 1400万/套(总价), 1400万/套
国瑞熙墅, 1500万/套(总价), 1500万/套
兴创国际中心, 39000元/平(均价), 0
未来中心, 38800元/平(均价), 0
富力运河十号, 55000元/平(均价), 0
富力运河十号, 50000元/平(均价), 0
恒大国际广场, 33000元/平(均价), 0
恒大城汇金街, 320万/套(总价), 0
首创悦都汇, 25000元/平(均价), 0
领秀翡翠墅, 45000元/平(均价), 668万/套
龙湖西宸广场, 50000元/平(均价), 0
V7荷塘月色, 28000元/平(均价), 409万/套
融汇国际大厦, 120000元/平(均价), 0
西山御园, 59000元/平(均价), 1200万/套
融达国际, 99800元/平(均价), 0
华润西山墅, 760万/套(总价), 780万/套
北京怡园, 460万/套(总价), 460万/套
龙熙瓦德拉玛庄园, 35000元/平(均价), 0
丽景长安, 52000元/平(均价), 780万/套
首开万科城市之光, 60000元/平(均价), 0
中冶德贤公馆, 1430万/套(总价), 1250万/套
燕西华府, 52000元/平(均价), 1760万/套
天恒京西悦府, 38000元/平(均价), 389万/套
合生滨江帝景, 75000元/平(均价), 765万/套
首创伊林郡, 35000元/平(均价), 560万/套
尚峯壹號, 36000元/平(均价), 440万/套
林肯公园二期B区, 40000元/平(均价), 0
合景中心, 65000元/平(均价), 480万/套
中粮天恒天悦壹号, 82000元/平(均价), 1030万/套
万科大都会滨江N2, 65000元/平(均价), 800万/套
合景泰富香悦四季, 560万/套(总价), 560万/套
FCC中央城, 48000元/平(均价), 0
K2十里春风, 27500元/平(均价), 199万/套
K2十里春风, 520万/套(总价), 520万/套
奥园北京源墅, 320万/套(总价), 320万/套
北京城建·龙樾西山, 50000元/平(均价), 590万/套
华远和墅, 1350万/套(总价), 0
房山超级蜂巢, 40000元/平(均价), 0
房山超级蜂巢, 24000元/平(均价), 0
玺萌壹號院, 99800元/平(均价), 4500万/套
首开住总熙悦安郡, 79500元/平(均价), 1090万/套
首创悦都汇, 26000元/平(均价), 0
远洋长安国际中心, 33000元/平(均价), 0
融创千章墅, 1800万/套(总价), 1800万/套
TBD住总万科天地, 50000元/平(均价), 0
长海御墅, 19000元/平(均价), 645万/套
北京书院, 112000元/平(均价), 702万/套
旭辉26街区, 200万/套(总价), 0
北京金茂府, 105000元/平(均价), 0
丰台金茂广场, 63000元/平(均价), 0
台湖银河湾, 800万/套(总价), 800万/套
一品嘉园, 38000元/平(均价), 370万/套
棠颂别墅璟庐, 1900万/套(总价), 1900万/套
万科弗农小镇, 23000元/平(均价), 257万/套
金隅上城郡, 830万/套(总价), 830万/套
万科弗农小镇, 325万/套(总价), 325万/套
首开保利欢乐大都汇, 30000元/平(均价), 0
首开保利欢乐大都汇, 65000元/平(均价), 0
中铁华侨城和园, 55000元/平(均价), 1000万/套
保利佲悦大都汇, 63000元/平(均价), 0
保利佲悦大都汇, 63000元/平(均价), 0
中海北京世家, 1800万/套(总价), 1800万/套
中海北京世家, 58000元/平(均价), 2200万/套
东方蓝海中心, 52000元/平(均价), 550万/套
顺鑫颐和天璟, 38000元/平(均价), 405万/套
顺鑫颐和天璟, 870万/套(总价), 870万/套
誉天下盛寓, 65000元/平(均价), 0
泰禾·北京公馆, 800万/套(总价), 0
未来公元, 60800元/平(均价), 630万/套
住总香榭8号, 1450万/套(总价), 1450万/套
华润未来城市, 61000元/平(均价), 945万/套
FCC中央城, 30000元/平(均价), 0
金科天宸荟, 55000元/平(均价), 0
金科天宸荟, 42000元/平(均价), 0
通州万国城MOMA, 71000元/平(均价), 800万/套
五矿名品, 51000元/平(均价), 750万/套
泰禾金府大院, 1400万/套(总价), 1400万/套
领秀翡翠墅, 1430万/套(总价), 1400万/套
奥园北京源墅, 260万/套(总价), 260万/套
翡翠公园, 1000万/套(总价), 1100万/套
北京城建北京合院, 47000元/平(均价), 420万/套
北京金茂府, 2500万/套(总价), 2100万/套
中骏西山天璟, 63000元/平(均价), 928万/套
海上海花园, 67500元/平(均价), 965万/套
新光大中心, 49800元/平(均价), 398万/套
珠光御景西园, 40000元/平(均价), 480万/套
和光尘樾, 79800元/平(均价), 1730万/套
融尚未来, 59000元/平(均价), 800万/套
北京城建北京合院, 1090万/套(总价), 1100万/套
中海寰宇天下, 63500元/平(均价), 920万/套
和光尘樾, 3800万/套(总价), 3800万/套
首开熙悦广场, 31000元/平(均价), 0
京投发展璟悦府, 32600元/平(均价), 261万/套
月亮河七星公馆, 78000元/平(均价), 1500万/套
国锐金嵿, 78000元/平(均价), 2200万/套
首开香溪郡, 45500元/平(均价), 400万/套
西山艺境华墅, 42000元/平(均价), 1280万/套
天润福熙大道, 90000元/平(均价), 1700万/套
北京城建世华龙樾, 82600元/平(均价), 0
西长安壹号, 33000元/平(均价), 0
首创天禧, 180000元/平(均价), 6700万/套
元熙华府, 82000元/平(均价), 750万/套
国韵村, 75000元/平(均价), 636万/套
九章别墅, 9300万/套(总价), 9300万/套
京贸国际公馆, 63000元/平(均价), 555万/套
凯德麓语, 850万/套(总价), 850万/套
招商都会湾, 43000元/平(均价), 380万/套
京贸国际城·峰景, 72000元/平(均价), 490万/套
首开琅樾, 2618万/套(总价), 1437万/套
华润西山墅, 1700万/套(总价), 1850万/套
观唐云鼎, 574万/套(总价), 574万/套
保利首开天誉, 4000万/套(总价), 3800万/套
浅山香邑, 270万/套(总价), 270万/套
鸿坤林语墅, 4500万/套(总价), 3150万/套
优山美地D区, 2200万/套(总价), 0
梵悦108, 150000元/平(均价), 2300万/套
旭辉城, 29000元/平(均价), 260万/套
中海京西里, 40837元/平(均价), 306万/套
首创远洋禧瑞天著, 52695元/平(均价), 430万/套
世茂西山龙胤, 4000万/套(总价), 4400万/套
华润理想国, 49520元/平(均价), 600万/套
首开保利熙悦林语, 1100万/套(总价), 1100万/套
檀香府, 50000元/平(均价), 530万/套
金融街金悦府, 50000元/平(均价), 412万/套
中海丽春湖墅·SMART墅, 660万/套(总价), 660万/套
中海丽春湖墅·合院, 1100万/套(总价), 1100万/套
祥云赋, 55583元/平(均价), 500万/套
泰禾金府大院, 2800万/套(总价), 2600万/套
中海金樾和著, 37000元/平(均价), 320万/套
和棠瑞著, 515万/套(总价), 710万/套
颐璟万和, 55016元/平(均价), 753万/套
北京经开汀塘, 53980元/平(均价), 430万/套
和悦华锦, 52695元/平(均价), 460万/套
和悦华玺, 49800元/平(均价), 650万/套
尊悦光华, 1700万/套(总价), 1700万/套
天竺悦府, 59500元/平(均价), 770万/套
北京城建海梓府, 1400万/套(总价), 1400万/套
新潮嘉园二期, 58000元/平(均价), 381万/套
朝青知筑, 78000元/平(均价), 1060万/套
瑞悦府, 600万/套(总价), 600万/套
中海云筑, 340万/套(总价), 340万/套
中海云筑, 750万/套(总价), 860万/套
远洋五里春秋, 52024元/平(均价), 420万/套
绿城西府海棠, 52024元/平(均价), 0
和锦薇棠, 79333元/平(均价), 2100万/套
万科翠湖国际, 43000元/平(均价), 0
昆仑域, 115000元/平(均价), 2791万/套
远洋悦满街, 38000元/平(均价), 0
首创·河著, 1500万/套(总价), 1500万/套
华萃西山, 47000元/平(均价), 440万/套
佑安府, 3200万/套(总价), 0
招商雍合府, 55800元/平(均价), 460万/套
金隅·金麟府, 52695元/平(均价), 468万/套
住总正华·时代广场, 55000元/平(均价), 0
天瑞宸章, 1500万/套(总价), 1500万/套
天恒京西悦府, 50000元/平(均价), 800万/套
首创远洋·禧瑞春秋, 68924元/平(均价), 1610万/套
东方太阳城, 2100万/套(总价), 2100万/套
西城天铸, 77800元/平(均价), 654万/套
壹亮马, 98000元/平(均价), 1700万/套
中粮天恒天悦壹号, 2000万/套(总价), 1900万/套
中海云熙, 37700元/平(均价), 335万/套
龙湾别墅, 1338万/套(总价), 1338万/套
海晏春秋, 52449元/平(均价), 1300万/套
京投发展·锦悦府, 25607元/平(均价), 165万/套
京投发展·锦悦府, 450万/套(总价), 450万/套
万科翡翠云图, 1500万/套(总价), 1700万/套
珠江阙, 2250万/套(总价), 2250万/套
远洋五里春秋, 1300万/套(总价), 1300万/套
林肯时代, 42000元/平(均价), 430万/套
公园十七区, 55711元/平(均价), 480万/套
亦庄金茂府, 1200万/套(总价), 0
通泰国际公馆, 52000元/平(均价), 280万/套
金融街·融府, 66555元/平(均价), 0
